Name,Price,Release_date,Review_no,Review_type,Tags,Description
Green Hell,2.8,2019-09-05,52960,Very Positive,"Open World Survival Craft,Survival,Multiplayer,Online Co-Op,Open World,Crafting,Action,Base Building,Singleplayer,Adventure,Co-op,Exploration,Sandbox,First-Person,Simulation,Survival Horror,Atmospheric,Building,Realistic,Action-Adventure","Plunge into the open world survival simulation set in the extreme conditions of the uncharted Amazon jungle. Use real-life survival techniques to craft, hunt, fight and gather resources, set a makeshift shelter or raise a fortress. Tend your wounds and maintain mental health - alone or with friends."
Harry Potter: Quidditch Champions,25.99,2024-09-03,1216,Mostly Positive,"Action,Sports,Flight,Arcade,Third Person,Magic,Supernatural,PvP,Character Customization,PvE,Team-Based,Co-op,Multiplayer,Online Co-Op,Singleplayer,Fantasy,Competitive,LGBTQ+,Villain Protagonist,Political",Your next chapter takes flight! Immerse yourself in the enchanting world of Quidditch by playing solo or sharing the magic with friends and family.
Call of Duty®: Black Ops III,31.99,2015-11-06,131332,Very Positive,"Multiplayer,Zombies,FPS,Shooter,Action,First-Person,Singleplayer,Co-op,Futuristic,Illuminati,Hero Shooter,Robots,Sci-fi,Gore,Great Soundtrack,Story Rich,Atmospheric,Parkour,Quick-Time Events,Simulation",Call of Duty®: Black Ops III Zombies Chronicles Edition includes the full base game plus the Zombies Chronicles content expansion.
ARK: Bob's Tall Tales,23.99,2024-04-02,624,Mixed,"Survival,Adventure,Open World,Action,Dinosaurs,Multiplayer,Building,Massively Multiplayer,Crafting,Base Building,Sandbox,Character Customization,PvE,PvP,Singleplayer,Inventory Management,RPG,Sci-fi,Fantasy,Moddable","Get ready for Wild West trains, steampunk airships, post-apocalyptic battle-cars and more in Bob's Tall Tales! Discover new story adventure content, new creatures, structures, items, and cosmetics across the ARKs – all brought to life by big-hero Bob (Karl Urban) and Meeka (Auliʻi Cravalho)!"
Palworld,10.49,2024-01-19,273914,Very Positive,"Open World,Multiplayer,Survival,Creature Collector,Open World Survival Craft,Crafting,Co-op,Adventure,Sandbox,Third-Person Shooter,Automation,Action,Early Access,RPG,Anime,PvE,3D,Indie,Looter Shooter,Hack and Slash","Fight, farm, build and work alongside mysterious creatures called ""Pals"" in this completely new multiplayer, open world survival and crafting game!"
Monster Hunter: World,29.99,2018-08-08,274321,Very Positive,"Co-op,Multiplayer,Action,Open World,RPG,Character Customization,Third Person,Adventure,Fantasy,Difficult,Action RPG,Singleplayer,Exploration,Great Soundtrack,Replay Value,Atmospheric,Hack and Slash,JRPG,MMORPG,Souls-like","Welcome to a new world!

In Monster Hunter: World, the latest installment

in the series, you can enjoy the ultimate hunting

experience, using everything at your disposal to

hunt monsters in a new world teeming with

surprises and excitement."
Assassin's Creed® Odyssey,8.79,2018-10-06,143235,Very Positive,"Open World,RPG,Singleplayer,Historical,Action,Assassin,Third Person,Adventure,Mythology,Stealth,Multiple Endings,Story Rich,Female Protagonist,Parkour,Exploration,Choices Matter,Action RPG,Action-Adventure,Multiplayer,Choose Your Own Adventure","Choose your fate in Assassin's Creed® Odyssey.

From outcast to living legend, embark on an odyssey to uncover the secrets of your past and change the fate of Ancient Greece."
Escape the Backrooms,4.39,2022-08-11,68159,Very Positive,"Horror,Multiplayer,Online Co-Op,Psychological Horror,Co-op,Survival Horror,First-Person,Exploration,Escape Room,Adventure,Action,VR,3D,Singleplayer,Early Access,Action-Adventure,Indie,Casual,Stealth,Dungeon Crawler",Escape the Backrooms is a 1-4 player co-op horror exploration game.  Traverse through eerie backrooms levels while avoiding entities and other danger to try and escape.  Free content updates with new levels and game modes keep the community rewarded.
Crime Scene Cleaner,7.99,2024-08-14,6523,Overwhelmingly Positive,"Crime,Simulation,Gore,Singleplayer,First-Person,Mature,Action,Adventure,Atmospheric,Funny,Realistic,Exploration,Stealth,Indie,Life Sim,Walking Simulator,Hacking,Heist,Great Soundtrack,Violent","Once you get tangled with the mob, you will forever be a part of the mob. At least they pay a decent salary and all you have to do is clean up after their dirty work, but you know what you’re doing. So clean crime scenes, earn as much money as you can, and get ready for the next mission."
Cyberpunk 2077: Phantom Liberty,14.99,2023-09-26,15554,Very Positive,"RPG,Sexual Content,Open World,Cyberpunk,Story Rich,Nudity,Violent,Gore,Atmospheric,Singleplayer,First-Person,FPS,Character Customization,Action RPG,Action,Choices Matter,Shooter,Horror,Great Soundtrack,Stealth","Phantom Liberty is a new spy-thriller expansion for the open-world action-adventure RPG Cyberpunk 2077. As cyber-enhanced mercenary V, join secret agent Solomon Reed to unravel a web of shattered loyalties and sinister political machinations."
Call of Duty®,,2022-10-28,331747,Mixed,"FPS,Multiplayer,Shooter,Action,Singleplayer,Military,First-Person,War,Modern,Tactical,Violent,Co-op,Realistic,Story Rich,Atmospheric,Mature,Online Co-Op,Gore,Third-Person Shooter,Third Person","Call of Duty® HQ supports Call of Duty®: Black Ops 6, Call of Duty®: Modern Warfare® III, Call of Duty®: Modern Warfare® II and Call of Duty®: Warzone™."
Spectre Divide,0.0,2024-09-03,8051,Mixed,"Free to Play,Action,Shooter,Multiplayer,FPS,Competitive,eSports,Tactical,Strategy,First-Person,PvP,Character Customization,Combat,3D,Team-Based,Futuristic,Sci-fi,Anime,Online Co-Op,Co-op","Spectre Divide is the genre-evolving, competitive 3v3 tactical shooter driven by Duality. Use Duality to control two bodies in real-time, letting you defend two sites at once, cover your own cross, or even trade yourself. Master tactical gunplay and an arsenal of future tech to achieve infamy."
HITMAN World of Assassination,10.49,2022-01-20,26893,Very Positive,"Stealth,Assassin,Action,Singleplayer,VR,Sandbox,Violent,Shooter,Third-Person Shooter,Third Person,Adventure,Realistic,Cinematic,Puzzle,Funny,Gore,Multiplayer,Open World,Immersive Sim,Capitalism","Enter the world of the ultimate assassin. HITMAN World of Assassination brings together the best of HITMAN, HITMAN 2 and HITMAN 3 including the main campaign, contract mode, escalations, elusive target arcades and the roguelike inspired game mode HITMAN: Freelancer."
Sniper Elite 5,4.79,2022-05-26,15014,Very Positive,"Singleplayer,Action,World War II,Stealth,Sniper,Multiplayer,Shooter,Co-op,Third-Person Shooter,Adventure,Gore,Action-Adventure,Violent,Third Person,Open World,Online Co-Op,War,FPS,Gun Customization,Sexual Content","The award-winning series returns as Karl Fairburne fights to uncover Project Kraken in 1944 France. The genre-defining authentic sniping, with enhanced kill cam, has never looked or felt better as you fight across immersive maps to stop the Nazi war machine in its tracks."
Overwatch® 2,0.0,2023-08-10,294644,Mostly Negative,"Free to Play,Hero Shooter,FPS,Multiplayer,Team-Based,PvP,Shooter,First-Person,Dark Humor,Action,Competitive,Co-op,Dystopian ,PvE,Sci-fi,Cinematic,Lore-Rich,Casual,MOBA,Family Friendly","Overwatch 2 is a critically acclaimed, team-based shooter game set in an optimistic future with an evolving roster of heroes. Team up with friends and jump in today."
Total War: WARHAMMER III,59.99,2022-02-17,75057,Mixed,"Strategy,Turn-Based Strategy,Grand Strategy,RTS,Fantasy,Real Time Tactics,Dark Fantasy,War,Action,Tactical,Atmospheric,Games Workshop,Dwarf,Multiplayer,Colorful,Co-op,PvP,Singleplayer,Story Rich,Warhammer 40K","The cataclysmic conclusion to the Total War: WARHAMMER trilogy is here. Rally your forces and step into the Realm of Chaos, a dimension of mind-bending horror where the very fate of the world will be decided. Will you conquer your Daemons… or command them?"
Snowbreak: Containment Zone,0.0,2023-12-25,5315,Mostly Positive,"Anime,Third-Person Shooter,RPG,Shooter,Action,3D,JRPG,Free to Play,Singleplayer,Sci-fi,Co-op,Cute,3D Platformer,Online Co-Op,Nudity,Action RPG,Hentai,Multiplayer,Story Rich,Adventure","The new 3D Waifu Sci-Fi RPG Shooter is here! Aim at fate, fight by our side! Clear the specified stage to claim an Orange-Tier Operative!"
SMITE 2,18.0,2024-08-27,1633,Mixed,"Action,MOBA,Third Person,Strategy,Adventure,Casual,Mythology,RPG,Competitive,Massively Multiplayer,Team-Based,MMORPG,PvP,Multiplayer,God Game,Online Co-Op,Co-op,Combat,Action-Adventure,Open World","Become a god and wage war in SMITE 2, the Unreal Engine 5-powered sequel to the legendary third-person MOBA. Join our 24/7 Closed Alpha, where we are forging a challenging, team-based, mythological Battleground. Become a Founder today to jump into the action and be a part of the development."
